Registro;Time;Best_Fitness_Promedio
252;2,747680926;23705554,58
253;2,672057986;24123726,07
254;2,74017005;24925252,87
255;2,701548862;22921439,5
256;2,721184754;21498915,08
257;2,718438268;21595293,07
258;2,714047241;24208135,69
259;2,716230106;23318606,37
260;4,094623327;21928666,12
261;2,688067555;21327521,64
262;2,689922881;23771091,99
263;2,738025188;23381629,28
264;2,777133417;24023730,86
265;4,010221291;25154459,88
266;4,062705421;25540061,52
267;2,753357887;23625293,77
268;4,078966212;26906422,73
269;2,737998796;26130872,49
270;2,770496726;27612408,2
271;4,044851255;28729456,41
272;2,682985425;25528552,76
273;2,717424941;27883743,96
274;4,059495234;23238856,95
275;2,71838572;25813564,82
276;2,739876246;25075802,08
277;2,766198134;15312910,44
278;4,087526608;19386179,84
279;2,747183609;20014820,58
280;2,696799707;27399541,17
281;6,16158812;25671445,43
282;2,799834061;26582387,94
283;4,190107965;19906489,18
284;3,014285326;15044896,22
285;2,810295606;17565951,72
286;4,148099971;18589000,22
287;2,729387236;22569516,83
288;2,81825583;19066398,03
289;4,049711657;22168345,26
290;2,680883694;17911668,5
291;2,625872159;26875884,51
292;2,754619408;22879280,22
293;2,763054132;15981252,27
294;2,829170799;23337379,15
295;3,986406016;26397940,52
296;3,596671104;19380851,06
297;2,861355472;17724519,92
298;3,558193684;17489474,21
299;3,519280577;17522635,66
300;2,776633048;18801077,45
301;3,548820019;23246441,83
302;2,767183876;18010474,52
303;2,806513357;15565948,55
304;3,551256919;16196146,46
305;3,565403986;14818740,41
306;2,765211296;17770984,89
307;2,766210485;18626488,27
308;3,528817177;17714897,61
309;2,643195462;21537486,54
310;2,778496218;17046033,53
311;3,59227984;20527806,45
312;3,578356624;21300159,75
313;2,812149692;21793401,51
314;2,649907017;21222859,17
315;2,81622448;20634091,14
316;3,573301721;22680757,81
317;2,972541046;20885741,46
318;2,935816264;14749923
319;2,264630032;24591213
320;2,319533348;22485506,32
321;2,378569818;18346998,87
322;2,396386886;20619126,87
323;3,07013793;18431218,12
324;3,087243176;20811487,42
325;3,608664131;25216010,57
326;3,139672542;16434388,83
327;2,464115405;18031985,02
328;2,533920789;18537710,82
329;2,535131001;20502051,37
330;3,268289089;21478826,01
331;2,552776051;22287397,87
332;3,24584465;16496274,79
333;2,641402698;22673763,24
334;2,722762132;21179611,37
335;2,593305731;14143577,73
336;3,371688771;22073130,56
337;2,71728611;22336759,95
338;2,806285214;21623564,1
339;4,06256187;26929350
340;3,640797186;12548235,68
341;3,566659236;16180224,19
342;7,020775342;17166973,28
343;4,513373995;16327388,9
344;3,153111839;17927478,78
345;2,701289272;23637205,17
346;2,842988896;18928819,92
347;2,8510185;15969940,92
348;2,879103255;17661788,51
349;2,795299244;20012735,93
350;2,954958844;19266318,95
351;3,664624786;18558503,11
352;2,792904115;17946545,34
353;2,835520339;16129800,57
354;2,871175408;18988905,14
355;2,788085604;17526283,29
356;2,835862398;17096599,96
357;2,802164507;17584183,29
358;7,667671013;23095124,87
359;2,813497114;22638367,46
360;2,805628181;21446142,03
361;3,625816393;22388764,77
