POBLACION_20DIAS_AJT,ContMalQui_Emer_Flor,TotP_Siem_Emer,TotP_Emer_Flor,FerQui_Emer_Flor,PENDIENTE_RASTA,PH_RASTA,PROFUND_RAICES_VIVAS_RASTA,Porc_Ar,Porc_AF,Porc_MUY_PLASTICO,Temp_Min_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Rain_Accu_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Avg_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Avg_Mad,MATERIAL_GENETICO_PAC 105,MATERIAL_GENETICO_PIONEER 30F35 HRR,METODO_COSECHA_Manual,METODO_COSECHA_Mecanizada,TERRENO_CIRCUN_RASTA_PLANO O LLANO,POSICION_PERFIL_RASTA_PLANO,OBSERVA_PLANTAS_PEQUENAS_RASTA_MUY AFECTADAS,OBSERVA_PLANTAS_PEQUENAS_RASTA_PLANTAS NORMALES,OBSERVA_PLANTAS_PEQUENAS_RASTA_POCO AFECTADAS,RDT_AJUSTADO
13500,1,0,0,2,1,5.5,30,0,0,0,24.79,9.1,15447.88,118.3,79.07,33.92,29.13,80.34,33.38,28.96,0,0,1,0,1,1,0,1,0,4186.05
55000,1,0,0,1,2,6,17,0,0,0,23.86,10.52,15896.17,135.3,80.15,32.87,28.33,86.57,32.51,28.47,0,0,1,0,1,1,1,0,0,2543.02
71000,1,0,0,2,4,5.5,38,0,0,0,23.99,8.75,14713.04,270.2,82.28,33.63,29.07,80.28,34.73,29.26,0,0,1,0,1,1,0,1,0,3579.07
70000,2,0,0,3,4,5,35,0,0,0,24.53,8.78,15221.06,380.8,80.2,33.13,28.52,79.1,32.79,27.83,0,0,1,0,1,1,0,1,0,5368.6
65000,1,0,0,3,2,5.5,31,100,0,0,24.14,8.91,15174.77,422.8,80.05,33.27,28.43,78.63,32.14,27.45,0,0,1,0,1,1,0,0,1,5764.19
60000,0,0,0,2,2,6,22,31.67,0,0,24.73,7.07,13512.05,161,89,33.25,29.22,83.97,32.63,28.7,0,0,1,0,1,1,0,1,0,4290.7
60000,1,0,0,2,1,5.5,32,0,0,0,23.81,10.09,15001.74,182.9,80.72,33.25,28.5,86.02,32.46,28.35,0,0,1,0,1,1,0,0,1,3162.79
60000,1,0,0,2,1,5.5,13,30,0,0,24.98,9.53,15623.6,98.2,77.74,33.62,28.95,81.13,33.42,29.05,0,0,1,0,1,1,0,0,1,4290.7
70000,1,0,0,4,3,6,22,100,0,0,24.47,8.8,15353.37,414.8,80.03,33.24,28.54,78.96,32.46,27.51,0,0,0,1,1,1,0,1,0,6216.28
84000,2,15,0,3,4,6.5,34,0,0,0,24.52,8.55,15082.03,412.1,80.78,33.24,28.56,78.8,32.69,27.74,0,0,0,1,1,1,0,1,0,6325.58
55000,1,0,0,3,1,7,36,0,0,0,24.89,9.48,15771.34,98.2,77.97,33.68,29,81.01,33.45,29.01,0,1,1,0,1,1,0,1,0,4744.19
60000,1,0,0,2,2,5.5,16,36.67,0,0,24.87,7.24,15185,197.7,88.98,33.11,29.13,85.15,32.59,28.79,0,1,1,0,1,1,0,1,0,5079.07
61500,2,0,0,3,3,5.5,24,61.67,0,0,23.61,9.16,16499.64,316.1,83.94,32.51,27.84,83.06,31.67,27.54,0,0,0,1,1,1,0,1,0,6157.44
70000,0,0,0,2,3,6,33,38.33,0,0,24.29,9.01,15429.55,395.4,79.88,33.26,28.48,78.74,32.08,27.27,0,0,0,1,1,1,0,1,0,6674.42
74000,2,2.5,0,3,3,6,21,0,0,0,24.75,8.55,14874.73,347,80.33,33.18,28.57,79.06,32.89,27.9,0,0,0,1,1,1,0,1,0,6593.02
62500,1,0,0,2,1,6,23,38.33,0,0,23.86,8.97,16250.96,264.9,84.36,32.7,28.04,83.39,31.84,27.53,0,0,1,0,1,1,0,1,0,5339.53
55000,1,0,0,1,1,5.5,33,20,0,0,23.88,10.19,15308.28,182.3,80.7,33.09,28.41,86.25,32.53,28.38,0,0,1,0,1,1,0,0,1,2002.33
60000,1,0,0,1,1,6,23,51.67,0,0,24.83,7.13,14508.87,161,88.83,33.23,29.21,84.49,32.44,28.69,0,0,1,0,1,1,0,1,0,3051.16
60000,1,0,0,2,2,5.5,40,0,0,0,23.8,9.03,16382.42,332.4,84.04,32.57,27.89,83.34,31.73,27.55,0,0,1,0,1,1,0,1,0,5625.58
72000,1,0,0,4,3,6,22,100,0,0,24.19,8.88,15123.25,426.4,79.97,33.32,28.47,78.6,32.12,27.39,0,0,0,1,1,1,0,1,0,6147.79
60000,1,0,0,2,2,6.5,25,36.67,0,0,24.89,9.39,15925.34,98.2,78.17,33.74,29.03,80.89,33.41,29.02,0,0,1,0,1,1,0,0,1,2825.58
55000,1,0,0,2,1,7,16,0,0,0,24.36,8.95,15132.61,181.1,80.44,34.32,29.43,79.46,33.26,28.89,0,0,1,0,1,1,1,0,0,3432.56
72000,0,0,0,2,1,5.5,30,0,0,0,24.75,9.17,15178.36,189.1,79.7,34.27,29.48,79.01,33.88,29.13,0,0,1,0,1,1,0,1,0,3813.95
59000,1,0,0,2,2,5,58,0,40,0,23.75,8.91,15136.27,224.6,81.25,32.5,28.29,82.36,33.8,28.68,0,0,1,0,1,1,0,1,0,3623.26
6000,1,0,0,2,1,6,18,0,0,0,24.73,7.07,13512.05,161,89,33.25,29.22,83.97,32.63,28.7,0,1,1,0,1,1,0,1,0,4439.53
70000,1,0,0,4,2,5.5,27,60,0,0,24.47,8.64,15224.75,414.8,80.5,33.26,28.56,78.88,32.28,27.37,0,0,0,1,1,1,0,1,0,6674.42
73000,2,0,0,3,3,6,21,0,0,0,24.91,8.37,14700.2,262.6,80.03,33.26,28.64,78.92,32.58,27.6,0,0,0,1,1,1,0,1,0,6027.91
75000,1,6,0,2,3.1,6,44,0,0,0,24.79,9.1,15447.88,118.3,79.07,33.92,29.13,80.34,33.45,29.01,0,0,0,1,1,1,0,1,0,6865.12
60000,0,0,0,2,1,6,18,0,0,0,24.46,8.89,15070.36,186.4,81.05,34.68,29.76,78.58,33.43,28.87,0,0,1,0,1,1,0,0,1,3720.93
55000,1,0,0,1,1,6.5,38,0,0,0,23.82,10.17,15018.07,182.9,80.72,33.16,28.45,86.12,32.48,28.38,0,0,1,0,1,1,0,0,1,2193.02
70000,1,0,0,1,2,6,28,100,0,0,24.62,7.28,14456.12,198.6,81.05,33.6,28.99,78.43,32.28,27.93,1,0,1,0,1,1,0,1,0,4238.37
62000,1,0,0,1,1,6,19,0,0,0,23.48,9.21,16468.35,337.8,83.79,32.3,27.66,83.2,31.72,27.78,0,0,1,0,1,1,0,1,0,6006.98
65000,1,0,15,2,1,6,22,28.33,0,0,24.85,7.05,14390.09,249,88.83,33.24,29.2,84.59,32.55,28.75,0,0,1,0,1,1,0,1,0,5597.67
62000,1,0,0,2,1,6,13,0,0,0,23.43,9.3,16597.03,334.7,83.66,32.27,27.65,83.17,31.78,27.79,0,0,1,0,1,1,0,1,0,5816.28
62500,2,0,0,3,2.7,5.5,35,0,0,0,24.98,9.53,15623.6,98.2,77.74,33.62,28.95,81.13,33.3,28.96,0,0,0,1,1,1,0,0,1,2250
68000,1,0,15,3,4,5.5,15,0,38.33,0,24.19,8.88,15123.25,426.4,79.97,33.32,28.47,78.6,32.2,27.49,0,0,0,1,1,0,0,0,1,7063.95
