ID_EVENTO,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Temp_Max_34_Freq_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Temp_Min_15_Freq_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Temp_Max_34_Freq_For,Rain_Accu_For,Rain_10_Freq_For,Temp_Min_15_Freq_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Temp_Max_34_Freq_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Temp_Min_15_Freq_Mad,Rhum_Avg_Mad
805,32.19662287,23.585,27.89081144,8.611622875,15874.54057,0.075,183,0.15,0,80.675,32.13404466,23.79482759,27.96443613,8.339217078,19462.94476,0.034482759,341.2,0.189655172,0,82.51724138,32.61477775,23.81929825,28.217038,8.795479507,21507.31012,0.01754386,146.3,0.070175439,0,80.84210526
806,31.99055373,23.9625,27.97652686,8.028053728,13294.61943,0.025,170.4,0.125,0,82.5,32.61091882,23.83275862,28.22183872,8.7781602,21763.41514,0.017241379,147.7,0.068965517,0,81.10344828,32.89104643,23.03846154,27.96475398,9.852584887,11479.02472,0.076923077,6.4,0,0,75.88073783
807,31.93718154,24.5,28.21859077,7.437181541,14647.31631,0.075,196.5,0.15,0,80.5,33.40209504,24.50517241,28.95363373,8.896922629,22326.28366,0.379310345,313.9,0.120689655,0,78.37931034,32.73684211,23.94210526,28.33947368,8.794736842,7286.295681,0.210526316,73.1,0.105263158,0,79.89473684
813,32.02778358,24.57,28.29889179,7.457783575,14724.9289,0.075,192,0.125,0,80.575,33.36478615,24.55344828,28.95911721,8.811337877,22134.40086,0.379310345,291.8,0.120689655,0,78.48275862,32.66451613,23.59354839,28.12903226,9.070967742,12055.28993,0.193548387,188.5,0.225806452,0,80.19354839
814,32.15574492,24.625,28.39037246,7.530744919,14736.66021,0.1,224.3,0.2,0,80.6,33.46977146,24.28448276,28.87712711,9.185288703,22494.87475,0.379310345,297.4,0.103448276,0,78.51724138,32.4037037,23.63333333,28.01851852,8.77037037,10096.25867,0.185185185,197.6,0.222222222,0,80.66666667
816,32.95353413,24.8475,28.90051706,8.106034126,15960.43318,0.2,65.6,0.05,0,75.025,32.14704364,24.71206897,28.4295563,7.434974675,21144.48378,0.103448276,248.5,0.137931034,0,80.37931034,34.27765962,24.76666667,29.52216314,9.510992951,11718.1341,0.633333333,79,0.066666667,0,76.66666667
817,32.11524755,24.6225,28.36887377,7.49274755,14710.6309,0.1,166,0.1,0,80.525,33.32159368,24.53275862,28.92717615,8.788835062,22090.72899,0.379310345,315.1,0.137931034,0,78.48275862,32.48684211,23.60263158,28.04473684,8.884210526,14418.02993,0.157894737,253.6,0.210526316,0,80.63157895
818,31.87891236,24.52,28.19945618,7.358912364,14549.47379,0.075,196.7,0.15,0,80.7,33.51596795,24.45,28.98298398,9.065967952,22519.29722,0.379310345,313.7,0.120689655,0,78.29310345,32.62857143,23.72142857,28.175,8.907142857,10754.54616,0.214285714,155.3,0.214285714,0,80.28571429
820,32.13945507,24.645,28.39222754,7.494455071,14749.74716,0.1,223.8,0.2,0,80.525,33.4561687,24.27068966,28.86342918,9.185479044,22425.28988,0.379310345,306.8,0.103448276,0,78.62068966,32.34642857,23.65,27.99821429,8.696428571,10418.92898,0.178571429,189.5,0.214285714,0,80.71428571
821,32.0162597,24.5075,28.26187985,7.508759696,14772.67955,0.075,185.4,0.125,0,80.35,33.36494527,24.55344828,28.95919677,8.811496995,22134.36264,0.379310345,325,0.137931034,0,78.48275862,32.67333333,23.61333333,28.14333333,9.06,11689.29623,0.2,155.3,0.2,0,80.13333333
