ID_EVENTO,ID_PROD,FECHA_PREP,PROF_PREP
1680,209,3/20/2013,NULL
1681,210,5/20/2013,5
1681,210,3/20/2013,5
1681,210,5/20/2013,NULL
1682,211,4/10/2013,5
1682,211,4/10/2013,NULL
1683,212,4/27/2013,5
1683,212,4/27/2013,5
1683,212,4/27/2013,NULL
1684,213,4/5/2013,5
1684,213,4/5/2013,5
1684,213,4/5/2013,NULL
1685,214,4/5/2013,5
1685,214,4/5/2013,5
1685,214,4/5/2013,NULL
1686,215,4/2/2013,5
1686,215,4/2/2013,NULL
1687,216,4/10/2013,5
1687,216,4/10/2013,5
1687,216,4/10/2013,NULL
1688,217,4/15/2013,5
1688,217,4/15/2013,5
1688,217,4/15/2013,NULL
1689,218,4/22/2013,5
1689,218,4/22/2013,5
1689,218,4/22/2013,NULL
1690,219,4/19/2013,5
1690,219,4/19/2013,NULL
1691,222,5/8/2013,5
1692,220,5/8/2013,5
1692,220,3/8/2013,NULL
1693,221,5/8/2013,5
1693,221,5/8/2013,NULL
1694,223,5/8/2013,5
1694,223,5/8/2013,NULL
1695,964,3/13/2014,5
1695,964,3/13/2014,5
1695,964,3/13/2014,NULL
1696,982,3/8/2014,5
1696,982,3/8/2014,5
1696,982,3/8/2014,NULL
1697,973,2/18/2014,5
1697,973,2/18/2013,5
1697,973,2/18/2014,NULL
1698,967,2/10/2014,5
1698,967,2/10/2014,5
1698,967,2/10/2014,NULL
1699,980,5/2/2013,5
1699,980,5/2/2013,5
1699,980,5/2/2013,NULL
1699,980,5/2/2013,NULL
1700,970,5/7/2013,5
1700,970,5/7/2013,5
1700,970,5/7/2013,NULL
1700,970,5/7/2013,NULL
1701,971,2/23/2013,5
1701,971,2/23/2013,5
1701,971,2/23/2013,NULL
1702,972,3/20/2013,5
1702,972,3/20/2013,5
1702,972,3/20/2013,NULL
1703,974,3/1/2013,5
1703,974,3/1/2013,5
1703,974,3/1/2013,NULL
1704,976,4/25/2014,5
1704,976,4/25/2014,5
1704,976,4/25/2013,NULL
1705,981,5/1/2014,5
1705,981,5/1/2014,5
1705,981,5/1/2014,NULL
1706,963,4/2/2014,5
