ID_EVENTO,ID_LOTE,ID_FINCA,ID_PROD,FECHA_SIEMBRA,LAT_LOTE,LONG_LOTE,FECHA_EMERGENCIA,FECHA_FLORACION,FECHA_COSECHA,DEPARTAMENTO,MUNICIPIO,PROD_COSECHADO,RDT_AJUSTADO
4414,4247,4475,2879,2016-05-12,9.059304,-75.711266,2016-05-17,2016-07-02,2016-09-22,CORDOBA,CHIMA,Grano seco,5462.790697674419
4417,4248,4476,2879,2016-05-12,9.05793,-75.711451,,,2016-09-20,CORDOBA,CHIMA,Grano seco,5148.837209302325
4419,4249,4477,2904,2016-05-08,8.995058,-75.715831,2016-05-13,2016-06-28,2016-09-20,CORDOBA,CHIMA,Grano seco,5302.325581395349
4421,4250,4478,2904,2016-05-08,8.993321,-75.714913,2016-05-13,2016-06-24,2016-09-18,CORDOBA,CHIMA,Grano seco,5581.395348837209
4429,4257,4485,2934,2016-05-06,9.014047,-75.71489,2016-05-11,2016-06-27,2016-09-17,CORDOBA,CHIMA,Grano seco,5530.232558139535
4430,4258,4486,2928,2016-05-14,9.015161,-75.715054,2016-05-18,2016-07-03,2016-09-26,CORDOBA,CHIMA,Grano seco,6430.232558139534
4431,4261,4489,2928,2016-05-12,9.016519,-75.718249,2016-05-16,2016-07-01,2016-09-20,CORDOBA,CHIMA,Grano seco,6232.558139534884
4432,4265,4493,2905,2016-05-06,8.996129,-75.71593,2016-05-11,2016-06-26,2016-09-15,CORDOBA,CHIMA,Grano seco,6122.093023255814
4433,4270,4498,2905,2016-05-05,8.993298,-75.729085,2016-05-10,2016-06-25,2016-09-12,CORDOBA,CHIMA,Grano seco,5745.3488372093025
4434,4275,4503,2905,2016-05-05,8.99237,-75.727807,2016-05-10,2016-06-25,2016-09-12,CORDOBA,CHIMA,Grano seco,5556.976744186047
4435,4279,4507,2865,2016-05-04,9.018071,-75.716401,2016-05-09,2016-06-25,2016-09-18,CORDOBA,CHIMA,Grano seco,5368.604651162791
4436,4280,4508,2919,2016-05-16,9.002675,-75.72037,2016-05-21,2016-07-06,2016-09-30,CORDOBA,CHIMA,Grano seco,5603.488372093023
4437,4281,4509,2920,2016-05-06,9.00442,-75.71649,2016-05-11,2016-06-26,2016-09-20,CORDOBA,CHIMA,Grano seco,5236.0465116279065
4438,4282,4510,2919,2016-05-17,9.00604,-75.717697,2016-05-22,2016-07-06,2016-10-01,CORDOBA,CHIMA,Grano seco,5274.418604651163
4439,4283,4511,2920,2016-05-05,9.004192,-75.71978,2016-05-10,2016-06-25,2016-09-18,CORDOBA,CHIMA,Grano seco,5511.627906976744
4440,4284,4512,2927,2016-05-06,9.015592,-75.715541,2016-05-11,2016-06-26,2016-09-14,CORDOBA,CHIMA,Grano seco,5462.790697674419
4441,4286,4514,2925,2016-05-04,9.01223,-75.708479,2016-05-08,2016-06-23,2016-09-16,CORDOBA,CHIMA,Grano seco,5395.3488372093025
4443,4287,4515,2927,2016-05-05,9.014392,-75.713173,2016-05-10,2016-06-25,2016-09-17,CORDOBA,CHIMA,Grano seco,6046.511627906977
4444,4288,4516,2925,2016-05-02,9.01214,-75.710816,2016-05-06,2016-06-20,2016-09-14,CORDOBA,CHIMA,Grano seco,5787.209302325581
4445,4289,4517,2923,2016-05-08,9.00666,-75.721523,2016-05-17,2016-06-27,2016-09-22,CORDOBA,CHIMA,Grano seco,5488.372093023256
4500,4328,4553,4790,2016-05-07,8.938722222,-75.797225,2016-05-13,2016-06-27,2016-09-18,CORDOBA,CERETE,Grano seco,7487.790697674419
4501,4327,4552,4790,2016-05-19,8.940833333,-75.80305556,2016-05-25,2016-07-13,2016-09-30,CORDOBA,CERETE,Grano seco,7913.9534883720935
4502,4368,4605,4834,2016-05-18,8.964361111,-75.83225,2016-05-24,2016-07-12,2016-10-07,CORDOBA,SAN PELAYO,Grano seco,5826.3488372093025
4503,4376,4612,4790,2016-05-07,8.938333333,-75.79805556,2016-05-13,2016-06-29,2016-09-18,CORDOBA,CERETE,Grano seco,7913.9534883720935
4504,4371,4608,4835,2016-05-17,9.040222222,-75.83337778,2016-05-23,2016-07-03,2016-09-23,CORDOBA,SAN PELAYO,Grano seco,5987.906976744186
4505,4377,4613,4791,2016-05-20,9.180134503,-75.7802388,2016-05-26,2016-07-15,2016-10-04,CORDOBA,LORICA,Grano seco,7063.9534883720935
4506,4369,4606,4835,2016-05-16,9.035277778,-75.84048056,2016-05-23,2016-07-10,2016-09-24,CORDOBA,SAN PELAYO,Grano seco,5411.046511627907
4507,4372,4609,4835,2016-05-17,9.041841667,-75.84104722,2016-05-25,2016-07-05,2016-09-30,CORDOBA,SAN PELAYO,Grano seco,6122.093023255814
4508,4378,4614,4791,2016-05-05,8.819944444,-75.70065833,2016-05-12,2016-06-28,2016-09-20,CORDOBA,SAN CARLOS,Grano seco,6418.604651162791
4509,4379,4615,4826,2016-05-25,9.129402778,-75.77713333,2016-05-30,2016-07-16,2016-10-05,CORDOBA,COTORRA,Grano seco,5581.395348837209
4510,4370,4607,4835,2016-05-16,9.050705556,-75.82486944,2016-05-22,2016-07-09,2016-10-02,CORDOBA,COTORRA,Grano seco,5925.813953488372
4511,4380,4616,4826,2016-05-22,9.024444444,-75.77611111,2016-05-28,2016-07-16,2016-10-03,CORDOBA,COTORRA,Grano seco,5106.976744186047
4512,4360,4597,4828,2016-05-23,9.028672222,-75.81301667,2016-05-27,2016-07-15,2016-10-18,CORDOBA,COTORRA,Grano seco,5050.2558139534885
4513,4381,4617,4826,2016-05-20,9.004675,-75.76815556,2016-05-25,2016-07-10,2016-09-24,CORDOBA,COTORRA,Grano seco,64046.51162790698
4514,4382,4618,4831,2016-05-21,8.802461111,-75.72315278,2016-05-28,2016-07-15,2016-10-18,CORDOBA,SAN CARLOS,Grano seco,5764.186046511628
4515,4296,4524,4767,2016-05-15,9.081025,-75.72941944,2016-05-21,2016-07-08,2016-09-29,CORDOBA,COTORRA,Grano seco,5441.860465116279
4517,4293,4521,4758,2016-05-23,9.03,-75.78233889,2016-05-27,2016-07-02,2016-09-30,CORDOBA,COTORRA,Grano seco,5180.232558139535
4526,4223,4451,4733,2016-05-08,9.064061111,-75.73958333,2016-05-14,2016-07-03,2016-09-23,CORDOBA,COTORRA,Grano seco,7103.488372093024
4530,4207,4435,4731,2016-05-12,8.870094444,-75.76222222,2016-05-18,2016-07-05,2016-09-25,CORDOBA,CERETE,Grano seco,4672.093023255814
4537,4361,4598,4829,2016-05-28,8.952972222,-75.76094722,2016-06-02,2016-07-20,2016-10-13,CORDOBA,CERETE,Grano seco,57762.32558139535
4538,4366,4603,4833,2016-05-20,9.019505556,-75.79870556,2016-05-26,2016-07-15,2016-09-28,CORDOBA,COTORRA,Grano seco,4539.767441860465
4541,4367,4604,4834,2016-05-18,8.947694444,-75.84769444,2016-05-23,2016-07-10,2016-10-06,CORDOBA,SAN PELAYO,Grano seco,5963.86046511628
4543,4324,4549,4788,2016-05-15,8.927472222,-75.87508056,2016-05-20,2016-07-11,2016-09-29,CORDOBA,SAN PELAYO,Grano seco,6674.418604651163
4544,4354,4591,4824,2016-05-22,8.8675,-75.69115556,2016-05-28,2016-07-14,2016-10-04,CORDOBA,CIENAGA DE ORO,Grano seco,6781.395348837209
4546,4355,4592,4825,2016-05-19,8.8486,-75.76439722,2016-05-24,2016-07-15,2016-10-03,CORDOBA,CERETE,Grano seco,6436.046511627907
4547,4325,4550,4789,2016-05-06,8.836138889,-75.752425,2016-05-12,2016-06-30,2016-09-24,CORDOBA,CERETE,Grano seco,7723.2558139534885
4548,4326,4551,4789,2016-05-19,8.835666667,-75.75083333,2016-05-25,2016-07-12,2016-10-05,CORDOBA,CERETE,Grano seco,7817.441860465116
4551,4295,4523,4767,2016-05-15,9.077452778,-75.74479444,2016-05-22,2016-07-11,2016-09-23,CORDOBA,COTORRA,Grano seco,5911.627906976744
4554,4285,4513,4758,2016-05-28,9.019941667,-75.78082778,2016-06-04,2016-07-21,2016-10-10,CORDOBA,COTORRA,Grano seco,5651.162790697675
4556,4222,4450,4733,2016-05-10,9.077416667,-75.72420556,2016-05-16,2016-07-03,2016-09-20,CORDOBA,CHIMA,Grano seco,7303.720930232558
4557,4173,4399,4723,2016-05-10,9.076438889,-75.73016111,2016-05-17,2016-07-07,2016-09-28,CORDOBA,COTORRA,Grano seco,7618.372093023256
4558,4432,4650,4749,2016-05-09,9.074875,-75.71970833,2016-05-13,2016-07-01,2016-09-22,CORDOBA,CHIMA,Grano seco,7341.86046511628
4559,4170,4396,4721,2016-05-09,8.745777778,-75.83980556,2016-05-15,2016-07-03,2016-09-24,CORDOBA,MONTERIA,Grano seco,6562.790697674419
4560,4172,4398,4723,2016-05-10,9.075694444,-75.74527778,2016-05-16,2016-07-13,2016-09-28,CORDOBA,COTORRA,Grano seco,7246.511627906977
4561,4171,4397,4722,2016-05-10,9.069705556,-75.72949167,2016-05-16,2016-07-03,2016-09-27,CORDOBA,COTORRA,Grano seco,5501.162790697675
4562,4253,4481,4750,2016-05-17,8.996613889,-75.78658889,2016-05-23,2016-07-10,2016-10-02,CORDOBA,SAN PELAYO,Grano seco,7532.558139534884
4563,4208,4436,4732,2016-05-12,8.923055556,-75.78716667,2016-05-19,2016-07-09,2016-09-28,CORDOBA,CERETE,Grano seco,7421.86046511628
4564,4215,4443,4733,2016-05-12,9.071608333,-75.73433056,2016-05-18,2016-07-06,2016-09-28,CORDOBA,COTORRA,Grano seco,7256.976744186046
4565,4205,4433,4730,2016-05-20,8.901666667,-75.71911111,2016-05-25,2016-07-12,2016-10-12,CORDOBA,CIENAGA DE ORO,Grano seco,7063.9534883720935
4566,4216,4444,4733,2016-05-12,9.0708,-75.73483056,2016-05-18,2016-07-05,2016-09-24,CORDOBA,COTORRA,Grano seco,7198.837209302325
4567,4217,4445,4733,2016-05-14,9.04455,-75.77637778,2016-05-21,2016-07-11,2016-09-30,CORDOBA,COTORRA,Grano seco,7532.558139534884
4568,4218,4446,4733,2016-05-05,9.035138889,-75.77010556,2016-05-11,2016-06-28,2016-09-22,CORDOBA,COTORRA,Grano seco,6674.418604651163
4569,4206,4434,4730,2016-05-20,8.901138889,-75.71569444,2016-05-27,2016-07-15,2016-10-12,CORDOBA,CIENAGA DE ORO,Grano seco,7627.906976744186
4570,4182,4409,4725,2016-05-15,8.907194444,-75.69979167,2016-05-21,2016-07-08,2016-10-09,CORDOBA,CIENAGA DE ORO,Grano seco,7720.93023255814
4571,4219,4447,4733,2016-05-04,9.032555556,-75.77119444,2016-05-10,2016-06-30,2016-09-14,CORDOBA,COTORRA,Grano seco,7008.139534883721
4574,4221,4449,4733,2016-05-19,9.041413889,-75.77613333,2016-05-26,2016-07-07,2016-10-05,CORDOBA,COTORRA,Grano seco,6769.767441860466
4575,4180,4407,4725,2016-05-15,8.895919444,-75.70278056,2016-05-20,2016-07-06,2016-10-09,CORDOBA,CIENAGA DE ORO,Grano seco,7063.9534883720935
4576,4212,4440,4733,2016-05-07,9.047161111,-75.76111111,2016-05-13,2016-07-01,2016-09-20,CORDOBA,COTORRA,Grano seco,7534.883720930233
4577,4181,4408,4725,2016-05-20,8.907166667,-75.69861111,2016-05-24,2016-07-12,2016-10-10,CORDOBA,CIENAGA DE ORO,Grano seco,7063.9534883720935
4596,4163,4389,4717,2016-05-09,9.018758333,-75.70883056,2016-05-16,2016-07-03,2016-09-25,CORDOBA,CHIMA,Grano seco,5768.604651162791
4597,4211,4439,4733,2016-05-05,9.062833333,-75.75563889,2016-05-12,2016-06-30,2016-09-15,CORDOBA,COTORRA,Grano seco,6593.023255813953
4598,4162,4388,4717,2016-05-09,9.047191667,-75.71454444,2016-05-15,2016-07-04,2016-09-25,CORDOBA,CHIMA,Grano seco,5911.627906976744
4599,4210,4438,4733,2016-05-03,9.062538889,-75.75996944,2016-05-09,2016-06-28,2016-09-10,CORDOBA,COTORRA,Grano seco,6697.674418604651
4600,4228,4456,4748,2016-05-10,9.043833333,-75.76392222,2016-05-16,2016-07-07,2016-09-19,CORDOBA,COTORRA,Grano seco,5813.953488372093
4601,4166,4392,4719,2016-05-16,9.044875,-75.78723889,2016-05-21,2016-07-09,2016-10-10,CORDOBA,COTORRA,Grano seco,7440.697674418605
4602,4230,4458,4748,2016-05-15,9.045,-75.75666667,2016-05-21,2016-07-07,2016-09-28,CORDOBA,COTORRA,Grano seco,6216.7441860465115
4605,4151,4377,4710,2016-05-05,8.949722222,-75.79871667,2016-05-09,2016-06-28,2016-09-11,CORDOBA,SAN PELAYO,Grano seco,6197.674418604652
4606,4149,4375,4709,2016-05-07,8.978022222,-75.78759167,2016-05-10,2016-06-26,2016-09-20,CORDOBA,SAN PELAYO,Grano seco,5839.53488372093
4607,4150,4376,4709,2016-05-07,8.973777778,-75.77575556,2016-05-12,2016-06-27,2016-09-21,CORDOBA,SAN PELAYO,Grano seco,5528.720930232558
4608,4179,4406,4724,2016-06-10,8.988522222,-75.75155556,2016-06-16,2016-08-04,2016-10-11,CORDOBA,SAN PELAYO,Grano seco,7440.697674418605
