ID_EVENTO,ID_LOTE,FECHA_SIEMBRA,FECHA_EMERGENCIA,FECHA_COSECHA,FECHA_FLORACION
4565,4205,2016-05-20,2016-05-25,2016-10-12,2016-07-12
4566,4216,2016-05-12,2016-05-18,2016-09-24,2016-07-05
4567,4217,2016-05-14,2016-05-21,2016-09-30,2016-07-11
4568,4218,2016-05-05,2016-05-11,2016-09-22,2016-06-28
4569,4206,2016-05-20,2016-05-27,2016-10-12,2016-07-15
4570,4182,2016-05-15,2016-05-21,2016-10-09,2016-07-08
4571,4219,2016-05-04,2016-05-10,2016-09-14,2016-06-30
4574,4221,2016-05-19,2016-05-26,2016-10-05,2016-07-07
4575,4180,2016-05-15,2016-05-20,2016-10-09,2016-07-06
4576,4212,2016-05-07,2016-05-13,2016-09-20,2016-07-01
4577,4181,2016-05-20,2016-05-24,2016-10-10,2016-07-12
4596,4163,2016-05-09,2016-05-16,2016-09-25,2016-07-03
4597,4211,2016-05-05,2016-05-12,2016-09-15,2016-06-30
4598,4162,2016-05-09,2016-05-15,2016-09-25,2016-07-04
4599,4210,2016-05-03,2016-05-09,2016-09-10,2016-06-28
4600,4228,2016-05-10,2016-05-16,2016-09-19,2016-07-07
4601,4166,2016-05-16,2016-05-21,2016-10-10,2016-07-09
4602,4230,2016-05-15,2016-05-21,2016-09-28,2016-07-07
4605,4151,2016-05-05,2016-05-09,2016-09-11,2016-06-28
4606,4149,2016-05-07,2016-05-10,2016-09-20,2016-06-26
4607,4150,2016-05-07,2016-05-12,2016-09-21,2016-06-27
