ID_EVENTO,ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,AREA,RDT_AJUSTADO,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Antes_Siem,ContEnfQui_Siem_Eme,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Antes_Siem,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose,TotN_Antes_Siem,TotN_Siem_Emer,TotN_Emer_Flor,TotP_Antes_Siem,TotP_Siem_Emer,TotP_Emer_Flor,TotK_Antes_Siem,TotK_Siem_Emer,TotK_Emer_Flor,FerOrg_Antes_Siem,FerOrg_Siem_Emer,FerOrg_Emer_Flor,FerQui_Antes_Siem,FerQui_Siem_Emer,FerQui_Emer_Flor
805,681,Mecanizado,NO,Otro,Pastos,SI,Mecanizada,NO,14.8,6273.255814,7,42,105,60000,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,55,46,0,23,0,0,30,0,0,0,0,0,3,1
806,682,Mecanizado,NO,Otro,Maiz,SI,Mecanizada,NO,29,6404.651163,6,42,75,65000,11,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,69,46,0,0,0,0,0,0,0,0,0,0,1,1
807,683,Mecanizado,SI,PIONEER 30F35,Algodón,SI,Manual,NO,3,5720.930233,4,42,70,58000,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,30,0,0,30,0,0,30,0,0,0,1,0,1,0
813,689,Manual,SI,DK 234,Algodón,SI,Manual,NO,1,3398.837209,6,40,82,60000,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,3
814,690,Manual,NO,PAC 105,Algodón,SI,Manual,NO,1.4,3720.930233,4,43,77,66000,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,2
816,692,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,10,6197.674419,8,39,80,65000,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,62,46,0,11.5,0,0,15,0,0,0,0,0,3,1
817,693,Mecanizado,SI,DK7088,Algodón,SI,Manual,NO,2.5,3720.930233,8,41,86,75000,12,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,124,0,0,23,0,0,0,0,0,0,0,0,4
818,694,Mecanizado,SI,PAC 105,Algodón,SI,Manual,NO,2.1,4238.372093,7,40,78,60000,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,46,23,0,0,0,0,0,0,0,0,0,0,1,1
820,696,Mecanizado,NO,PAC 105,Algodón,SI,Mecanizada,NO,10,5244.186047,7,41,77,65000,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,82.5,46,0,34.5,0,0,0,0,0,0,0,0,2,1
821,697,Mecanizado,SI,DK 234,Algodón,SI,Manual,NO,4.2,2860.465116,5,41,81,62000,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2
